,policy_area,dataset,variable,year,tract,tract_number,neighborhood,geoid,location,row_id,date,count
0,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 3200, Los Angeles County, California",320000,Universal City,1400000US06037320000,"(34.137367, -118.352786)",Drinking_Water_Contaminants_2014_1400000US06037320000,2014-01-01T00:00:00.000,
1,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 5516, Los Angeles County, California",551600,Downey,1400000US06037551600,"(33.925708, -118.162308)",Drinking_Water_Contaminants_2014_1400000US06037551600,2014-01-01T00:00:00.000,
2,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 5990, Los Angeles County, California",599000,Avalon,1400000US06037599000,"(33.343563, -118.3300478)",Drinking_Water_Contaminants_2014_1400000US06037599000,2014-01-01T00:00:00.000,
3,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 5991, Los Angeles County, California",599100,Unincorporated Catalina Island,1400000US06037599100,"(33.388813499999998, -118.423552636715)",Drinking_Water_Contaminants_2014_1400000US06037599100,2014-01-01T00:00:00.000,
4,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9010.03, Los Angeles County, California",901003,Lancaster,1400000US06037901003,"(34.69674, -118.227897)",Drinking_Water_Contaminants_2014_1400000US06037901003,2014-01-01T00:00:00.000,
5,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9202, Los Angeles County, California",920200,Castaic Canyons,1400000US06037920200,"(34.4679205, -118.594791)",Drinking_Water_Contaminants_2014_1400000US06037920200,2014-01-01T00:00:00.000,
6,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9800.01, Los Angeles County, California",980001,Burbank,1400000US06037980001,"(34.199424, -118.3594925)",Drinking_Water_Contaminants_2014_1400000US06037980001,2014-01-01T00:00:00.000,
7,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9800.02, Los Angeles County, California",980002,Carson,1400000US06037980002,"(33.809244, -118.241188)",Drinking_Water_Contaminants_2014_1400000US06037980002,2014-01-01T00:00:00.000,
8,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9800.05, Los Angeles County, California",980005,Torrance,1400000US06037980005,"(33.852811, -118.3306995)",Drinking_Water_Contaminants_2014_1400000US06037980005,2014-01-01T00:00:00.000,
9,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9800.06, Los Angeles County, California",980006,Long Beach,1400000US06037980006,"(33.808542, -118.087881)",Drinking_Water_Contaminants_2014_1400000US06037980006,2014-01-01T00:00:00.000,
10,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9800.07, Los Angeles County, California",980007,Long Beach,1400000US06037980007,"(33.7633785, -118.1035825)",Drinking_Water_Contaminants_2014_1400000US06037980007,2014-01-01T00:00:00.000,
11,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9800.20, Los Angeles County, California",980020,Shadow Hills,1400000US06037980020,"(34.2242935, -118.305462)",Drinking_Water_Contaminants_2014_1400000US06037980020,2014-01-01T00:00:00.000,
12,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9800.25, Los Angeles County, California",980025,Carson,1400000US06037980025,"(33.841065, -118.2386745)",Drinking_Water_Contaminants_2014_1400000US06037980025,2014-01-01T00:00:00.000,
13,Environment,Water Quality,Drinking Water Contaminants,2014,"Census Tract 9800.30, Los Angeles County, California",980030,El Segundo,1400000US06037980030,"(33.9090245, -118.412818)",Drinking_Water_Contaminants_2014_1400000US06037980030,2014-01-01T00:00:00.000,
14,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,1400000US06037101110,"(34.2595555, -118.293602)",Drinking_Water_Contaminants_2017_1400000US06037101110,2017-01-01T00:00:00.000,618.0514468
15,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 1011.22, Los Angeles County, California",101122,Tujunga,1400000US06037101122,"(34.267357, -118.29024)",Drinking_Water_Contaminants_2017_1400000US06037101122,2017-01-01T00:00:00.000,616.6982716
16,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 1012.10, Los Angeles County, California",101210,Tujunga,1400000US06037101210,"(34.251998, -118.2926875)",Drinking_Water_Contaminants_2017_1400000US06037101210,2017-01-01T00:00:00.000,618.0514468
17,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 1012.20, Los Angeles County, California",101220,Tujunga,1400000US06037101220,"(34.2511895, -118.281014)",Drinking_Water_Contaminants_2017_1400000US06037101220,2017-01-01T00:00:00.000,618.0514468
18,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 1013, Los Angeles County, California",101300,Tujunga,1400000US06037101300,"(34.2455945, -118.271731)",Drinking_Water_Contaminants_2017_1400000US06037101300,2017-01-01T00:00:00.000,849.0993443999999
19,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 1014, Los Angeles County, California",101400,Tujunga,1400000US06037101400,"(34.244255, -118.296428)",Drinking_Water_Contaminants_2017_1400000US06037101400,2017-01-01T00:00:00.000,626.4089039
20,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 1021.03, Los Angeles County, California",102103,Shadow Hills,1400000US06037102103,"(34.224155, -118.354339)",Drinking_Water_Contaminants_2017_1400000US06037102103,2017-01-01T00:00:00.000,619.1943195
