"","County","AQI_Weekly_Measurement","week","month","year","City"
"1","Cook",16.980790960452,1,1,2021,"Chicago"
"2","Cook",13.2302405498282,2,1,2021,"Chicago"
"3","Cook",10.2228739002933,3,1,2021,"Chicago"
"4","Cook",10.540782122905,4,1,2021,"Chicago"
"5","Cook",11.8942857142857,5,2,2021,"Chicago"
"6","Cook",11.9647564469914,6,2,2021,"Chicago"
"7","Cook",10.7248780487805,7,2,2021,"Chicago"
"8","Cook",19.0431472081218,8,2,2021,"Chicago"
"9","Cook",13.524,9,2,2021,"Chicago"
"10","Cook",13.9634078212291,10,3,2021,"Chicago"
"11","Cook",10.6890909090909,11,3,2021,"Chicago"
"12","Cook",9.78259587020649,12,3,2021,"Chicago"
"13","Cook",8.17150837988827,13,3,2021,"Chicago"
"14","Cook",16.8937853107345,14,4,2021,"Chicago"
"15","Cook",6.20197183098592,15,4,2021,"Chicago"
"16","Cook",8.94289617486339,16,4,2021,"Chicago"
"17","Cook",10.3863636363636,17,4,2021,"Chicago"
"18","Cook",7.08974358974359,18,5,2021,"Chicago"
"19","Cook",5.61120448179272,19,5,2021,"Chicago"
"20","Cook",9.81278409090909,21,5,2021,"Chicago"
"21","Cook",10.5485175202156,22,5,2021,"Chicago"
"22","Cook",8.99788461538462,23,6,2021,"Chicago"
"23","Cook",8.26660268714011,24,6,2021,"Chicago"
"24","Cook",7.36770833333333,25,6,2021,"Chicago"
"25","Cook",5.75747126436782,26,6,2021,"Chicago"
"26","Cook",11.8251439539347,27,7,2021,"Chicago"
"27","Cook",8.09212007504691,28,7,2021,"Chicago"
"28","Cook",16.0919847328244,29,7,2021,"Chicago"
"29","Cook",19.7659003831418,30,7,2021,"Chicago"
"30","Cook",15.1975378787879,31,8,2021,"Chicago"
"31","Cook",13.9191897654584,32,8,2021,"Chicago"
"32","Cook",9.3868978805395,33,8,2021,"Chicago"
"33","Cook",9.58721804511278,34,8,2021,"Chicago"
"34","Cook",9.97839388145315,35,9,2021,"Chicago"
"35","Cook",7.6992125984252,36,9,2021,"Chicago"
"36","Cook",8.91463878326996,37,9,2021,"Chicago"
"37","Cook",6.23441682600382,38,9,2021,"Chicago"
"38","Cook",6.45969289827255,39,9,2021,"Chicago"
"39","Cook",9.38956356736243,40,10,2021,"Chicago"
"40","Cook",10.2239005736138,41,10,2021,"Chicago"
"41","Cook",7.1911877394636,42,10,2021,"Chicago"
"42","Cook",5.63707224334601,43,10,2021,"Chicago"
"43","Cook",6.56506717850288,44,10,2021,"Chicago"
"44","Cook",14.0921305182342,45,11,2021,"Chicago"
"45","Cook",6.80263157894737,46,11,2021,"Chicago"
"46","Cook",9.64510556621881,47,11,2021,"Chicago"
"47","Cook",7.21007957559682,48,11,2021,"Chicago"
"48","Cook",12.1838150289017,20,5,2021,"Chicago"
"49","Cook",7.49961904761905,1,1,2020,"Chicago"
"50","Cook",8.68543689320388,2,1,2020,"Chicago"
"51","Cook",10.4848659003831,3,1,2020,"Chicago"
"52","Cook",12.7347744360902,4,1,2020,"Chicago"
"53","Cook",11.1874274661509,5,2,2020,"Chicago"
"54","Cook",9.33320537428023,6,2,2020,"Chicago"
"55","Cook",11.8510436432638,7,2,2020,"Chicago"
"56","Cook",8.55730769230769,8,2,2020,"Chicago"
"57","Cook",6.53606557377049,9,2,2020,"Chicago"
"58","Cook",7.26070726915521,10,3,2020,"Chicago"
