date, pm25, o3
2022/2/2, 61, 
2022/2/3, 36, 
2022/2/4, 14, 
2022/2/5, 34, 
2022/2/6, 52, 
2022/2/7, 47, 
2022/1/4, 40, 
2022/1/5, 31, 
2022/1/6, 34, 
2022/1/7, 21, 
2022/1/8, 41, 
2022/1/9, 29, 
2022/1/10, 34, 
2022/1/11, 21, 
2022/1/12, 31, 
2022/1/13, 34, 
2022/1/14, 52, 
2022/1/15, 30, 
2022/1/16, 20, 
2022/1/17, 42, 
2022/1/18, 41, 
2022/1/19, 35, 
2022/1/20, 30, 
2022/1/21, 26, 
2022/1/22, 38, 
2022/1/23, 32, 
2022/1/24, 19, 
2022/1/25, 28, 
2022/1/26, 29, 
2022/1/27, 42, 
2022/1/28, 31, 
2022/1/29, 29, 
2022/1/30, 35, 
2022/1/31, 51, 
2022/2/1, 74, 
2021/10/2, 52, 30
2021/10/3, 37, 28
2021/10/4, 38, 26
2021/10/5, 33, 19
2021/10/6, 34, 22
2021/10/7, 54, 18
2021/10/8, 41, 32
2021/10/9, 36, 39
2021/10/10, 40, 39
2021/10/11, 59, 29
2021/10/12, 50, 17
2021/10/13, 31, 27
2021/10/14, 48, 16
2021/10/15, 31, 15
2021/10/16, 33, 26
2021/10/17, 24, 31
2021/10/18, 28, 30
2021/10/19, 35, 35
2021/10/20, 35, 33
2021/10/21, 39, 17
2021/10/22, 22, 20
2021/10/23, 26, 24
2021/10/24, 33, 26
2021/10/25, 36, 24
2021/10/26, 20, 16
2021/10/27, 24, 17
2021/10/28, 27, 12
2021/10/29, 34, 17
2021/10/30, 29, 27
2021/10/31, 30, 18
2021/11/1, 36, 19
2021/11/2, 21, 20
2021/11/3, 19, 19
2021/11/4, 30, 18
2021/11/5, 35, 25
2021/11/6, 37, 31
2021/11/7, 43, 32
2021/11/8, 46, 23
2021/11/9, 53, 
2021/11/10, 58, 
2021/11/11, 56, 
2021/11/12, 42, 
2021/11/13, 15, 
2021/11/14, 18, 
2021/11/15, 17, 
2021/11/16, 20, 
2021/11/17, 41, 
2021/11/18, 48, 
2021/11/19, 17, 
2021/11/20, 16, 
2021/11/21, 50, 
2021/11/22, 47, 
2021/11/23, 16, 
2021/11/24, 20, 
2021/11/25, 29, 
2021/11/26, 30, 
2021/11/27, 16, 
2021/11/28, 25, 
2021/11/29, 30, 
2021/11/30, 21, 
2021/12/1, 36, 
2021/12/2, 42, 
2021/12/3, 28, 
2021/12/4, 34, 
2021/12/5, 33, 
2021/12/7, 16, 
2021/12/8, 12, 
2021/12/9, 37, 
2021/12/10, 47, 
2021/12/11, 56, 
2021/12/12, 21, 
2021/12/13, 15, 
2021/12/14, 15, 
2021/12/16, 46, 
2021/12/17, 43, 
2021/12/18, 25, 
2021/12/19, 32, 
2021/12/20, 29, 
2021/12/21, 37, 
2021/12/22, 46, 
2021/12/23, 26, 
2021/12/24, 28, 
2021/12/25, 42, 
2021/12/26, 37, 
2021/12/27, 41, 
2021/12/28, 38, 
2021/12/29, 25, 
2021/12/30, 29, 
2021/12/31, 33, 
2022/1/1, 51, 
2022/1/2, 25, 
2022/1/3, 23, 
2021/7/2, 35, 18
2021/7/3, 24, 36
2021/7/4, 44, 41
2021/7/5, 77, 36
2021/7/6, 65, 44
2021/7/7, 60, 43
2021/7/8, 57, 13
2021/7/9, 32, 23
2021/7/10, 29, 26
2021/7/11, 39, 26
2021/7/12, 45, 26
2021/7/13, 49, 30
2021/7/14, 47, 32
2021/7/15, 43, 37
2021/7/16, 40, 34
2021/7/17, 44, 32
2021/7/18, 49, 36
2021/7/19, 45, 36
2021/7/20, 51, 57
2021/7/21, 67, 27
2021/7/22, 70, 47
2021/7/23, 76, 46
2021/7/24, 86, 41
2021/7/25, 76, 48
2021/7/26, 59, 43
2021/7/27, 58, 51
2021/7/28, 51, 45
2021/7/29, 60, 43
2021/7/30, 59, 23
2021/7/31, 34, 39
2021/8/1, 45, 31
2021/8/2, 73, 31
2021/8/3, 48, 53
2021/8/4, 52, 43
2021/8/5, 63, 46
2021/8/6, 51, 39
2021/8/7, 55, 41
2021/8/8, 58, 35
2021/8/9, 62, 27
2021/8/10, 43, 33
2021/8/11, 54, 38
2021/8/12, 42, 30
2021/8/13, 43, 32
2021/8/14, 35, 39
2021/8/15, 35, 44
2021/8/16, 47, 45
2021/8/17, 41, 46
2021/8/18, 52, 41
2021/8/19, 52, 35
2021/8/20, 54, 46
2021/8/21, 61, 35
2021/8/22, 51, 36
2021/8/23, 36, 44
2021/8/24, 42, 36
2021/8/25, 48, 74
2021/8/26, 37, 49
2021/8/27, 38, 49
2021/8/28, 50, 35
2021/8/29, 53, 30
2021/8/30, 50, 56
2021/8/31, 42, 46
2021/9/1, 39, 32
2021/9/2, 30, 33
2021/9/3, 34, 31
2021/9/4, 39, 31
2021/9/5, 46, 41
2021/9/6, 32, 41
2021/9/7, 33, 38
