"","week","month","year","Weather_PRCP","DLY_TRK_VMT","DLY_VMT","WKDY_TRK_CUR","CUR_AADT","ADTT_CUR","city","county"
"1",1,1,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"2",1,1,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"3",1,1,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"4",1,1,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"5",2,1,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"6",2,1,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"7",2,1,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"8",2,1,2021,0.0024,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"9",3,1,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"10",3,1,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"11",3,1,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"12",3,1,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"13",4,1,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"14",4,1,2019,0.240238095238095,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"15",4,1,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"16",4,1,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"17",5,1,2018,0.0695918367346939,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"18",5,1,2019,0.0523255813953488,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"19",5,1,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"20",5,1,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"21",6,2,2018,0.2114,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"22",6,2,2019,0.0802439024390244,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"23",6,2,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"24",6,2,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"25",7,2,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"26",7,2,2019,0.0848648648648649,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"27",7,2,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"28",7,2,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"29",8,2,2018,0.223958333333333,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"30",8,2,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"31",8,2,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"32",8,2,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"33",9,2,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"34",9,2,2019,0.104186046511628,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"35",9,2,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"36",9,2,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"37",10,3,2018,0.102352941176471,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"38",10,3,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"39",10,3,2020,0.0535714285714286,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"40",10,3,2021,NA,18701.3571428571,48386.2857142857,9010.21428571429,18036.2142857143,7039.21428571429,"Hazleton","Luzerne"
"41",11,3,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"42",11,3,2019,5e-04,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"43",11,3,2020,0.0464285714285714,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"44",11,3,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"45",12,3,2018,0.03875,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"46",12,3,2019,NA,18791,82451.5,8533.5,29496.5,6667,"Hazleton","Luzerne"
"47",12,3,2020,0.18952380952381,1495,5153,5822,15691.5,4548.5,"Hazleton","Luzerne"
"48",12,3,2021,NA,7542.125,27856.1875,5889.5625,17900.6875,4601.1875,"Hazleton","Luzerne"
"49",13,3,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"50",13,3,2019,0.0261904761904762,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"51",13,3,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"52",13,3,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"53",14,4,2018,0.167407407407407,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"54",14,4,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"55",14,4,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"56",14,4,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"57",15,4,2018,0.008,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"58",15,4,2019,0.511111111111111,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"59",15,4,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"60",15,4,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"61",16,4,2018,0.220545454545455,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"62",16,4,2019,0.166595744680851,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"63",16,4,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"64",16,4,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"65",17,4,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"66",17,4,2019,NA,366.75,5324.75,634,7106,495.25,"Hazleton","Luzerne"
"67",17,4,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"68",17,4,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"69",18,4,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"70",18,4,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"71",18,4,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"72",18,4,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"73",19,5,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"74",19,5,2019,0.269574468085106,271.085714285714,4174.45714285714,361.714285714286,4685.45714285714,282.6,"Hazleton","Luzerne"
"75",19,5,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"76",19,5,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"77",20,5,2018,0.394035087719298,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"78",20,5,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"79",20,5,2020,NA,155.5,2417.5,268.7,3199.9,209.9,"Hazleton","Luzerne"
"80",20,5,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"81",21,5,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"82",21,5,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"83",21,5,2020,NA,350.625,4850.375,344.375,4137.375,268.875,"Hazleton","Luzerne"
"84",21,5,2021,0.0451785714285714,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"85",22,5,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"86",22,5,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"87",22,5,2020,NA,2634,12554.7058823529,1894.64705882353,8201.88235294118,1480.29411764706,"Hazleton","Luzerne"
"88",22,5,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"89",23,6,2018,0.0641818181818182,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"90",23,6,2019,0.0261818181818182,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"91",23,6,2020,NA,123.233333333333,3397.26666666667,135.5,3444.73333333333,105.766666666667,"Hazleton","Luzerne"
"92",23,6,2021,NA,173.111111111111,4190,280.111111111111,5431.66666666667,218.888888888889,"Hazleton","Luzerne"
"93",24,6,2018,0.131724137931034,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
