X,Y,recordnum,takenby,comments,setdate,setyear,mcd,route,road,cntdir,fromlmt,tolmt,type,latitude,longitude,factor,axle,outdir,indir,sidewalk,aadp,co_name,mun_name,id
-75.1507329999999,39.941582,71762,jh,,2010/11/12 00:00:00+00,2010,4210160103,,5th st,,bainbridge st,south st,Pedestrian,39.941582,-75.150733,1.001,1.0622,north,south,east,738,Philadelphia,Central,31667
-75.1563659999999,39.9491080000001,70704,sb,,2010/09/23 00:00:00+00,2010,4210160103,,sansom st,,10th st,9th st,Pedestrian,39.949108,-75.156366,0.949,1.0622,west,east,south,4353,Philadelphia,Central,32325
-75.1565909999999,39.9491980000001,70703,sb,,2010/09/23 00:00:00+00,2010,4210160103,,sansom st,,10th st,9th st,Pedestrian,39.949198,-75.156591,0.949,1.0622,west,east,north,1007,Philadelphia,Central,37134
-75.1633179999999,39.9431070000001,71627,jh,,2010/10/29 00:00:00+00,2010,4210160103,,13th st,,bainbridge st,south st,Pedestrian,39.943107,-75.163318,1.001,1.0622,north,south,east,503,Philadelphia,Central,41756
-75.154027,39.9419810000001,71683,jh,,2010/11/12 00:00:00+00,2010,4210160103,,7th st,,bainbridge st,south st,Pedestrian,39.941981,-75.154027,1.001,1.0622,north,south,west,923,Philadelphia,Central,42444
-75.2590299999999,39.9729760000001,79220,jh,,2011/07/22 00:00:00+00,2011,4210160106,,lansdowne ave,,haverford ave,75th st,Pedestrian,39.972976,-75.25903,0.9,1.0622,north,south,east,64,Philadelphia,West Park,51058
-75.1847969999999,39.9458050000001,71583,sb,,2010/10/08 00:00:00+00,2010,4210160103,,schuylkill ave,,bainbridge st,27th st,Pedestrian,39.945805,-75.184797,0.968,1.0622,north,south,east,117,Philadelphia,Central,51773
-75.2408609999999,39.9565020000001,84485,jh,,2012/02/28 00:00:00+00,2012,4210160111,,spruce st,,60th st,59th st,Pedestrian,39.956502,-75.240861,1.059,1.0622,east,west,north,499,Philadelphia,West,65847
-75.16355086,39.92753107,149145,bn,,2019/07/12 00:00:00+00,2019,4210160112,,11th st,north,moore st,pierce st,Pedestrian,39.92753107,-75.16355086,,,S,N,east,185,Philadelphia,South,68549
-75.172336,39.953579,104327,jh,,2013/11/01 00:00:00+00,2013,4210160103,3,market st,,20th st,19th st,Pedestrian,39.953579,-75.172336,1.001,1.0622,east,west,north,3675,Philadelphia,Central,69335
-75.227863,39.935301,78723,jh,,2011/06/04 00:00:00+00,2011,4210160110,,58th st,,chester ave,kingsessing ave,Pedestrian,39.935301,-75.227863,0.93,1.0622,north,south,east,354,Philadelphia,University - Southwest,2818
-75.228099,39.9352640000001,78724,jh,,2011/06/04 00:00:00+00,2011,4210160110,,58th st,,chester ave,kingsessing ave,Pedestrian,39.935264,-75.228099,0.93,1.0622,north,south,west,495,Philadelphia,University - Southwest,3252
-75.179819,39.955543,71870,jh,,2011/05/10 00:00:00+00,2011,4210160103,,john f kennedy blvd,,schuykill ave,23rd st,Pedestrian,39.955543,-75.179819,0.962,1.0622,west,east,north,501,Philadelphia,Central,3942
-75.179862,39.9553540000001,71871,jh,,2011/05/10 00:00:00+00,2011,4210160103,3,john f kennedy blvd,,schuylkill ave,23rd st,Pedestrian,39.955354,-75.179862,0.962,1.0622,west,east,south,1285,Philadelphia,Central,3943
-75.179862,39.9545400000001,71874,jh,,2011/06/18 00:00:00+00,2011,4210160103,3,market st bridge,,schuylkill ave,23rd st,Pedestrian,39.95454,-75.179862,0.93,1.0622,east,west,north,2825,Philadelphia,Central,4453
-75.179905,39.954285,71875,jh,,2011/06/18 00:00:00+00,2011,4210160103,,market st bridge,,schuykill ave,23rd st,Pedestrian,39.954285,-75.179905,0.93,1.0622,west,east,south,1337,Philadelphia,Central,4454
-75.1798939999999,39.952908,71877,jh,,2011/04/19 00:00:00+00,2011,4210160103,,chestnut st bridge,,schuylkill ave,23rd st,Pedestrian,39.952908,-75.179894,1.012,1.0622,west,east,north,796,Philadelphia,Central,4916
-75.179942,39.9527840000001,71878,jh,,2011/05/07 00:00:00+00,2011,4210160103,,chestnut st bridge,,schuylkill ave,23rd st,Pedestrian,39.952784,-75.179942,0.962,1.0622,east,west,south,893,Philadelphia,Central,4917
-75.180382,39.9514150000001,71880,jh,,2011/04/19 00:00:00+00,2011,4210160103,,walnut st bridge,,schuylkill ave,23rd st,Pedestrian,39.951415,-75.180382,1.012,1.0622,west,east,north,1562,Philadelphia,Central,4919
