date, pm25, o3, no2, so2, co
2022/2/2, 48, 7, 33, 1, 7
2022/2/3, 63, 22, 26, , 4
2022/2/4, 42, 22, 8, , 2
2022/2/5, 20, 27, 3, , 5
2022/2/6, 37, 24, 6, , 7
2022/2/7, 10, , , , 
2022/1/4, 12, 24, 10, , 4
2022/1/5, 22, 16, 21, , 3
2022/1/6, 38, 18, 15, , 3
2022/1/7, 50, 24, 6, , 4
2022/1/8, 42, 27, 9, , 4
2022/1/9, 23, 23, 10, , 4
2022/1/10, 34, 29, 4, , 3
2022/1/11, 27, 26, 6, , 4
2022/1/12, 14, 23, 19, 1, 4
2022/1/13, 35, 9, 34, 1, 9
2022/1/14, 71, 28, 16, , 2
2022/1/15, 42, 28, 4, , 2
2022/1/16, 15, 22, 16, , 3
2022/1/17, 33, 27, 8, , 1
2022/1/18, 29, 27, 11, , 2
2022/1/19, 33, 24, 18, 1, 2
2022/1/20, 38, 27, 12, 1, 2
2022/1/21, 36, 26, 6, , 2
2022/1/22, 18, 24, 13, , 3
2022/1/23, 25, 24, 14, , 2
2022/1/24, 52, 22, 13, 1, 2
2022/1/25, 50, 24, 16, 1, 2
2022/1/26, 53, 28, 7, 1, 2
2022/1/27, 18, 27, 21, 1, 3
2022/1/28, 43, 16, 24, 1, 3
2022/1/29, 61, 31, 3, , 3
2022/1/30, 25, 28, 12, , 3
2022/1/31, 37, 21, 29, , 4
2022/2/1, 58, 22, 28, 1, 3
2021/10/2, 26, 37, 13, 1, 2
2021/10/3, 51, 37, 10, 1, 1
2021/10/4, 71, 28, 10, 1, 1
2021/10/5, 62, 17, 6, 1, 1
2021/10/6, 53, 19, 5, , 1
2021/10/7, 30, 28, 10, 1, 1
2021/10/8, 40, 33, 13, 1, 2
2021/10/9, 52, 27, 2, , 1
2021/10/10, 48, 22, 3, , 1
2021/10/11, 46, 27, 4, , 1
2021/10/12, 27, 24, 7, 1, 1
2021/10/13, 39, 15, 12, 1, 1
2021/10/14, 44, 33, 13, 1, 3
2021/10/15, 123, 37, 16, 1, 5
2021/10/16, 50, 34, 4, 2, 1
2021/10/17, 47, 23, 1, , 1
2021/10/18, 16, 23, 5, 1, 1
2021/10/19, 44, 29, 11, 2, 1
2021/10/20, 52, 35, 20, 2, 1
2021/10/21, 81, 33, 20, 1, 2
2021/10/22, 58, 17, 8, 1, 1
2021/10/23, 47, 15, 6, 1, 1
2021/10/24, 35, 16, 7, 1, 2
2021/10/25, 35, 30, 10, 1, 1
2021/10/26, 47, 23, 4, 1, 1
2021/10/27, 26, 21, 4, 1, 1
2021/10/28, 21, 21, 6, , 1
2021/10/29, 31, 28, 2, 1, 1
2021/10/30, 36, 23, 3, 1, 1
2021/10/31, 41, 16, 5, 1, 1
2021/11/1, 74, 24, 9, 1, 2
2021/11/2, 49, 19, 13, 1, 3
2021/11/3, 66, 22, 10, 1, 4
2021/11/4, 83, 19, 15, 1, 5
2021/11/6, 39, 24, 17, 1, 6
2021/11/7, 45, 25, 19, 1, 5
2021/11/8, 41, 29, 19, 1, 5
2021/11/9, 54, 23, 30, 2, 5
2021/11/10, 71, 29, 22, 1, 4
2021/11/11, 47, 27, 14, 1, 3
