"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5"
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-01",,,,,"0.00","0.0","2.0",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-02",,,,,"0.00",,"1.0",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-03",,,,,"0.00","0.0","0.5",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-04",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-05",,,,,"0.11","5.5","5.5",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-06",,,,,"0.00","0.0","4.5",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-07",,,,,"0.00","0.0","4.0",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-08",,,,,"0.00","0.0","4.0",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-09",,,,,"0.05","0.0","3.5",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-10",,,,,"0.00","0.0","2.0",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-11",,,,,"0.00","0.0","1.5",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-12",,,,,"0.07",,"0.0",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-13",,,,,"1.70",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-14",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-15",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-16",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-17",,,,,"0.01","0.1","0.1",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-18",,,,,"0.07","0.2","0.2",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-19",,,,,"0.00","0.0","0.1",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-20",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-21",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-22",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-23",,,,,"0.18",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-24",,,,,"0.23",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-25",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-26",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-27",,,,,"0.00",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-28",,,,,"0.12",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-29",,,,,"0.18",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-30",,,,,"0.01","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-01-31",,,,,"0.08","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-02-01",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-02-02",,,,,"0.23","0.0","0.0",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-02-03",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-02-04",,,,,"0.00","0.0",,,,,,,,,
