,AQI_month,AQI_weekly,AQI_year,Longitude,Latitude,City,County
0,Jan,13.714334470989762,2019,34.1365,-117.92391,Los Angeles,Los Angeles
1,Jan,11.733580705009276,2019,34.1365,-117.92391,Los Angeles,Los Angeles
2,Jan,7.055947955390335,2019,34.1365,-117.92391,Los Angeles,Los Angeles
3,Jan,9.82605504587156,2019,34.1365,-117.92391,Los Angeles,Los Angeles
4,Feb,12.657064220183488,2019,34.1365,-117.92391,Los Angeles,Los Angeles
5,Feb,6.777757352941176,2019,34.1365,-117.92391,Los Angeles,Los Angeles
6,Feb,6.005156537753223,2019,34.1365,-117.92391,Los Angeles,Los Angeles
7,Feb,7.6866171003717465,2019,34.1365,-117.92391,Los Angeles,Los Angeles
8,Mar,8.009869646182496,2019,34.1365,-117.92391,Los Angeles,Los Angeles
9,Mar,5.4552293577981645,2019,34.1365,-117.92391,Los Angeles,Los Angeles
10,Mar,7.599815157116451,2019,34.1365,-117.92391,Los Angeles,Los Angeles
11,Mar,6.959369202226345,2019,34.1365,-117.92391,Los Angeles,Los Angeles
12,Apr,9.772344322344322,2019,34.1365,-117.92391,Los Angeles,Los Angeles
13,Apr,5.797416974169741,2019,34.1365,-117.92391,Los Angeles,Los Angeles
14,Apr,8.951020408163266,2019,34.1365,-117.92391,Los Angeles,Los Angeles
15,Apr,9.320253164556963,2019,34.1365,-117.92391,Los Angeles,Los Angeles
16,May,11.123314065510597,2019,34.1365,-117.92391,Los Angeles,Los Angeles
17,May,10.990073529411765,2019,34.1365,-117.92391,Los Angeles,Los Angeles
18,May,5.574358974358974,2019,34.1365,-117.92391,Los Angeles,Los Angeles
19,May,7.689814814814815,2019,34.1365,-117.92391,Los Angeles,Los Angeles
20,Jun,6.7283333333333335,2019,34.1365,-117.92391,Los Angeles,Los Angeles
21,Jun,7.97518115942029,2019,34.1365,-117.92391,Los Angeles,Los Angeles
22,Jun,7.814732965009207,2019,34.1365,-117.92391,Los Angeles,Los Angeles
23,Jun,10.314074074074075,2019,34.1365,-117.92391,Los Angeles,Los Angeles
24,Jul,7.206764168190128,2019,34.1365,-117.92391,Los Angeles,Los Angeles
25,Jul,8.965176908752328,2019,34.1365,-117.92391,Los Angeles,Los Angeles
26,Jul,13.148618784530386,2019,34.1365,-117.92391,Los Angeles,Los Angeles
27,Jul,11.469328493647913,2019,34.1365,-117.92391,Los Angeles,Los Angeles
28,Aug,9.20074074074074,2019,34.1365,-117.92391,Los Angeles,Los Angeles
29,Aug,11.234756097560975,2019,34.1365,-117.92391,Los Angeles,Los Angeles
30,Aug,10.604570383912248,2019,34.1365,-117.92391,Los Angeles,Los Angeles
31,Aug,9.642407407407406,2019,34.1365,-117.92391,Los Angeles,Los Angeles
32,Sept,9.736481481481482,2019,34.1365,-117.92391,Los Angeles,Los Angeles
33,Sept,9.378623188405797,2019,34.1365,-117.92391,Los Angeles,Los Angeles
34,Sept,9.577255639097745,2019,34.1365,-117.92391,Los Angeles,Los Angeles
35,Sept,10.3070110701107,2019,34.1365,-117.92391,Los Angeles,Los Angeles
36,Oct,10.389579524680073,2019,34.1365,-117.92391,Los Angeles,Los Angeles
37,Feb,8.854311926605504,2019,34.1365,-117.92391,Los Angeles,Los Angeles
38,Feb,8.368342644320299,2019,34.1365,-117.92391,Los Angeles,Los Angeles
39,Feb,11.122324723247234,2019,34.1365,-117.92391,Los Angeles,Los Angeles
40,Nov,12.785443037974684,2019,34.1365,-117.92391,Los Angeles,Los Angeles
41,Nov,11.87946611909651,2019,34.1365,-117.92391,Los Angeles,Los Angeles
42,Nov,10.640038314176246,2019,34.1365,-117.92391,Los Angeles,Los Angeles
43,Nov,15.055019305019306,2019,34.1365,-117.92391,Los Angeles,Los Angeles
44,Feb,17.279926335174952,2019,34.1365,-117.92391,Los Angeles,Los Angeles
45,Feb,16.979385171790234,2019,34.1365,-117.92391,Los Angeles,Los Angeles
46,Feb,11.767843866171004,2019,34.1365,-117.92391,Los Angeles,Los Angeles
47,Feb,12.44814126394052,2019,34.1365,-117.92391,Los Angeles,Los Angeles
48,Dec,12.089454545454545,2019,34.1365,-117.92391,Los Angeles,Los Angeles
49,Dec,12.857731958762887,2019,34.1365,-117.92391,Los Angeles,Los Angeles
50,Dec,12.854158215010143,2019,34.1365,-117.92391,Los Angeles,Los Angeles
51,Dec,9.892377495462794,2019,34.1365,-117.92391,Los Angeles,Los Angeles
0,Jan,21.791348600508904,2020,34.1365,-117.92391,Los Angeles,Los Angeles
1,Jan,11.99143389199255,2020,34.1365,-117.92391,Los Angeles,Los Angeles
2,Jan,18.136514522821575,2020,34.1365,-117.92391,Los Angeles,Los Angeles
3,Jan,11.292042440318303,2020,34.1365,-117.92391,Los Angeles,Los Angeles
4,Feb,12.254491017964073,2020,34.1365,-117.92391,Los Angeles,Los Angeles
5,Feb,11.287020109689214,2020,34.1365,-117.92391,Los Angeles,Los Angeles
6,Feb,12.328650646950093,2020,34.1365,-117.92391,Los Angeles,Los Angeles
7,Feb,13.320220588235294,2020,34.1365,-117.92391,Los Angeles,Los Angeles
8,Mar,10.281666666666668,2020,34.1365,-117.92391,Los Angeles,Los Angeles
9,Mar,8.74513108614232,2020,34.1365,-117.92391,Los Angeles,Los Angeles
10,Mar,5.069117647058824,2020,34.1365,-117.92391,Los Angeles,Los Angeles
11,Mar,5.493761467889908,2020,34.1365,-117.92391,Los Angeles,Los Angeles
12,Apr,5.186372007366482,2020,34.1365,-117.92391,Los Angeles,Los Angeles
13,Apr,8.30110497237569,2020,34.1365,-117.92391,Los Angeles,Los Angeles
14,Apr,4.0029197080291965,2020,34.1365,-117.92391,Los Angeles,Los Angeles
15,Apr,7.273804573804574,2020,34.1365,-117.92391,Los Angeles,Los Angeles
16,May,9.557110609480812,2020,34.1365,-117.92391,Los Angeles,Los Angeles
17,May,10.471527777777778,2020,34.1365,-117.92391,Los Angeles,Los Angeles
18,May,12.286641929499073,2020,34.1365,-117.92391,Los Angeles,Los Angeles
19,May,8.040699815837938,2020,34.1365,-117.92391,Los Angeles,Los Angeles
20,Jun,8.281901279707496,2020,34.1365,-117.92391,Los Angeles,Los Angeles
21,Jun,9.714154411764707,2020,34.1365,-117.92391,Los Angeles,Los Angeles
22,Jun,9.276979742173111,2020,34.1365,-117.92391,Los Angeles,Los Angeles
23,Jun,8.675091575091576,2020,34.1365,-117.92391,Los Angeles,Los Angeles
24,Jul,8.782470119521912,2020,34.1365,-117.92391,Los Angeles,Los Angeles
25,Jul,8.60239520958084,2020,34.1365,-117.92391,Los Angeles,Los Angeles
26,Jul,14.800548446069469,2020,34.1365,-117.92391,Los Angeles,Los Angeles
27,Jul,13.057777777777778,2020,34.1365,-117.92391,Los Angeles,Los Angeles
28,Aug,9.052407407407408,2020,34.1365,-117.92391,Los Angeles,Los Angeles
29,Aug,8.888235294117647,2020,34.1365,-117.92391,Los Angeles,Los Angeles
30,Aug,11.355248618784529,2020,34.1365,-117.92391,Los Angeles,Los Angeles
31,Aug,10.170718232044198,2020,34.1365,-117.92391,Los Angeles,Los Angeles
32,Sept,14.106250000000001,2020,34.1365,-117.92391,Los Angeles,Los Angeles
33,Sept,23.376752767527677,2020,34.1365,-117.92391,Los Angeles,Los Angeles
34,Sept,11.544935543278084,2020,34.1365,-117.92391,Los Angeles,Los Angeles
35,Sept,15.589110707803993,2020,34.1365,-117.92391,Los Angeles,Los Angeles
36,Oct,29.35071868583162,2020,34.1365,-117.92391,Los Angeles,Los Angeles
37,Feb,36.05444444444445,2020,34.1365,-117.92391,Los Angeles,Los Angeles
38,Feb,17.18284671532847,2020,34.1365,-117.92391,Los Angeles,Los Angeles
39,Feb,20.952389705882354,2020,34.1365,-117.92391,Los Angeles,Los Angeles
40,Nov,22.38692449355433,2020,34.1365,-117.92391,Los Angeles,Los Angeles
41,Nov,15.989541284403668,2020,34.1365,-117.92391,Los Angeles,Los Angeles
42,Nov,13.885406698564594,2020,34.1365,-117.92391,Los Angeles,Los Angeles
43,Nov,20.47091836734694,2020,34.1365,-117.92391,Los Angeles,Los Angeles
44,Feb,15.370425138632163,2020,34.1365,-117.92391,Los Angeles,Los Angeles
45,Feb,15.051197053406998,2020,34.1365,-117.92391,Los Angeles,Los Angeles
46,Feb,14.705996131528046,2020,34.1365,-117.92391,Los Angeles,Los Angeles
47,Feb,15.08529945553539,2020,34.1365,-117.92391,Los Angeles,Los Angeles
48,Dec,21.782283464566927,2020,34.1365,-117.92391,Los Angeles,Los Angeles
49,Dec,16.56051660516605,2020,34.1365,-117.92391,Los Angeles,Los Angeles
50,Dec,13.871698113207547,2020,34.1365,-117.92391,Los Angeles,Los Angeles
51,Dec,16.240515653775322,2020,34.1365,-117.92391,Los Angeles,Los Angeles
52,,11.947741935483872,2020,34.1365,-117.92391,Los Angeles,Los Angeles
0,Jan,17.71368613138686,2021,34.1365,-117.92391,Los Angeles,Los Angeles
1,Jan,17.43877551020408,2021,34.1365,-117.92391,Los Angeles,Los Angeles
